Date,Actual,Predicted,Error
2017-09-10,425.00003,437.36023,-12.360199
2017-09-11,424.0,428.91837,-4.9183655
2017-09-12,421.0,431.41245,-10.412445
2017-09-13,420.00003,431.93045,-11.93042
2017-09-14,447.0,425.58334,21.416656
2017-09-17,447.0,443.56622,3.4337769
2017-09-18,443.0,454.3959,-11.395905
2017-09-20,439.00003,453.89258,-14.892548
2017-09-24,441.0,450.01495,-9.014954
2017-09-25,448.0,449.08438,-1.0843811
2017-09-26,448.0,448.03665,-0.03665161
2017-10-03,453.0,446.15253,6.847473
2017-10-04,440.0,449.11676,-9.11676
2017-10-08,432.00003,441.32272,-9.322693
2017-10-09,431.00003,427.5076,3.4924316
2017-10-10,427.00003,429.65033,-2.650299
2017-10-11,428.0,432.4364,-4.4364014
2017-10-12,429.0,431.59763,-2.5976257
2017-10-15,433.00003,433.8099,-0.8098755
2017-10-16,442.0,433.19223,8.80777
2017-10-17,449.0,441.08853,7.9114685
2017-10-18,444.00003,445.23993,-1.2398987
2017-10-22,450.00003,446.2453,3.7547302
2017-10-23,449.0,449.0698,-0.0697937
2017-10-24,448.0,450.36502,-2.3650208
2017-10-25,449.0,449.00858,-0.008575439
2017-10-29,442.0,448.6667,-6.666687
2017-10-30,437.00003,443.85666,-6.8566284
2017-10-31,437.00003,440.61694,-3.6169128
2017-11-01,434.0,437.31357,-3.313568
2017-11-02,440.0,435.26108,4.738922
2017-11-05,430.0,438.16663,-8.166626
2017-11-06,429.0,431.7893,-2.7893066
2017-11-07,422.0,427.1085,-5.10849
2017-11-08,416.0,428.72916,-12.7291565
2017-11-09,415.0,424.41116,-9.411163
2017-11-12,423.0,423.80276,-0.8027649
2017-11-13,428.0,425.4508,2.5491943
2017-11-14,432.00003,427.75677,4.2432556
2017-11-15,428.0,431.54663,-3.5466309
2017-11-16,420.00003,431.13446,-11.13443
2017-11-19,420.00003,426.5954,-6.5953674
2017-11-20,421.0,418.54242,2.4575806
2017-11-21,423.0,422.22092,0.77908325
2017-11-22,425.00003,425.72235,-0.72232056
2017-11-23,425.00003,425.16025,-0.16021729
2017-11-26,432.00003,425.61914,6.38089
2017-11-27,430.0,431.64856,-1.6485596
2017-11-28,431.00003,431.45438,-0.4543457
2017-11-29,436.0,430.1991,5.8009033
2017-11-30,437.00003,434.79816,2.2018738
2017-12-04,435.0,437.3697,-2.36969
2017-12-05,431.00003,437.31036,-6.3103333
2017-12-06,435.0,435.1059,-0.105895996
2017-12-10,430.0,433.6798,-3.6798096
2017-12-11,431.00003,435.1657,-4.16568
2017-12-12,427.00003,430.36667,-3.3666382
2017-12-13,428.0,429.18103,-1.1810303
2017-12-14,425.00003,429.07623,-4.0762024
2017-12-17,423.0,429.4894,-6.4894104
2017-12-18,426.00003,425.0703,0.929718
2017-12-19,424.0,424.40906,-0.40905762
2017-12-20,422.0,423.86584,-1.8658447
2017-12-21,420.00003,422.04562,-2.0455933
2017-12-24,421.0,420.41232,0.587677
2017-12-26,420.00003,421.97333,-1.9732971
2017-12-27,415.0,419.86792,-4.86792
2017-12-28,410.0,414.90533,-4.9053345
2017-12-31,402.0,410.62607,-8.626068
2018-01-01,414.00003,406.30585,7.6941833
2018-01-02,425.00003,413.1537,11.846344
2018-01-03,422.0,428.95007,-6.9500732
2018-01-04,421.0,425.23373,-4.233734
2018-01-07,423.0,430.96097,-7.960968
2018-01-08,425.00003,428.13922,-3.1391907
2018-01-09,425.00003,425.89764,-0.8976135
2018-01-10,425.00003,427.8877,-2.8876648
2018-01-14,420.00003,426.0937,-6.0936584
2018-01-16,417.0,422.00305,-5.0030518
2018-01-17,413.00003,418.29678,-5.296753
2018-01-21,419.00003,414.84717,4.1528625
2018-01-22,420.00003,417.64133,2.3587036
2018-01-23,416.0,421.1258,-5.1257935
2018-01-24,419.00003,421.76587,-2.7658386
2018-01-25,420.00003,421.34955,-1.3495178
2018-01-28,415.0,422.64227,-7.642273
2018-01-29,340.0,420.03207,-80.032074
2018-01-31,344.0,340.90323,3.0967712
2018-02-01,344.0,351.2213,-7.2213135
2018-02-04,350.00003,355.27823,-5.2781982
2018-02-05,342.0,353.8175,-11.817505
2018-02-06,347.0,349.36215,-2.362152
2018-02-07,342.0,349.52737,-7.5273743
2018-02-08,342.0,348.37625,-6.376251
2018-02-11,342.0,345.60413,-3.604126
2018-02-12,340.0,345.69705,-5.697052
2018-02-14,340.0,344.62198,-4.6219788
2018-02-15,350.00003,342.50604,7.493988
2018-02-18,350.00003,350.0224,-0.022369385
2018-02-20,340.0,356.58826,-16.588257
2018-02-21,340.0,348.1118,-8.111786
2018-02-22,340.0,344.77197,-4.7719727
2018-02-25,338.0,345.1793,-7.179291
2018-02-26,335.0,342.82538,-7.8253784
2018-02-27,338.0,339.57864,-1.5786438
2018-02-28,334.0,340.86557,-6.86557
2018-03-04,328.0,340.63992,-12.639923
2018-03-05,324.0,332.63553,-8.635529
2018-03-06,327.0,332.34866,-5.3486633
2018-03-07,330.0,332.29495,-2.2949524
2018-03-11,326.0,338.20135,-12.201355
2018-03-12,328.0,334.44507,-6.4450684
2018-03-13,333.0,333.68314,-0.683136
2018-03-14,335.0,336.3102,-1.3102112
2018-03-15,335.0,338.71014,-3.710144
2018-03-18,334.0,339.38248,-5.382477
2018-03-19,325.0,340.92322,-15.923218
2018-03-20,323.0,334.968,-11.967987
2018-03-21,316.0,327.97842,-11.978424
2018-03-22,316.0,322.71304,-6.713043
2018-03-26,300.0,320.75473,-20.75473
2018-03-27,316.0,311.62228,4.377716
2018-03-28,311.0,316.93628,-5.9362793
2018-03-29,318.0,319.49194,-1.4919434
2018-04-01,313.0,324.99347,-11.993469
2018-04-02,314.0,322.98904,-8.989044
2018-04-03,315.0,320.97708,-5.9770813
2018-04-04,325.0,319.9538,5.0462036
2018-04-05,331.0,328.49905,2.500946
2018-04-08,340.0,336.00177,3.99823
2018-04-09,335.0,345.39383,-10.393829
2018-04-10,334.0,347.0401,-13.0401
2018-04-11,335.0,339.64536,-4.645355
2018-04-12,337.0,339.6382,-2.638214
2018-04-15,340.0,342.5581,-2.5581055
2018-04-16,338.0,341.00565,-3.0056458
2018-04-17,337.0,343.06885,-6.0688477
2018-04-18,345.0,345.0609,-0.060913086
2018-04-19,351.0,350.03574,0.9642639
2018-04-22,369.00003,358.4665,10.533539
2018-04-23,360.0,371.6361,-11.636108
2018-04-24,359.0,376.13748,-17.137482
2018-04-25,352.0,366.44257,-14.442566
2018-04-26,348.00003,366.8091,-18.809082
2018-04-29,344.0,359.23856,-15.238556
2018-05-02,341.0,349.45944,-8.459442
2018-05-03,346.0,345.72394,0.276062
2018-05-06,343.0,353.03845,-10.038452
2018-05-07,343.0,349.64832,-6.6483154
2018-05-08,343.0,346.92252,-3.9225159
2018-05-09,344.0,347.44608,-3.4460754
2018-05-10,343.0,349.85315,-6.8531494
2018-05-14,341.0,346.59875,-5.598755
2018-05-15,339.0,344.27225,-5.2722473
2018-05-16,341.0,344.84277,-3.8427734
2018-05-17,339.0,344.75565,-5.7556458
2018-05-20,340.0,344.19327,-4.193268
2018-05-21,340.0,344.672,-4.671997
2018-05-22,337.0,342.71878,-5.7187805
2018-05-23,334.0,341.64508,-7.6450806
2018-05-24,335.0,342.33234,-7.3323364
2018-05-27,332.0,341.15833,-9.158325
2018-05-28,340.0,338.07913,1.9208679
2018-05-29,337.0,342.22397,-5.2239685
2018-05-30,340.0,342.9214,-2.9213867
2018-05-31,339.0,343.2408,-4.240814
2018-06-03,330.0,344.1206,-14.120605
2018-06-04,329.0,337.74097,-8.740967
2018-06-06,336.0,332.83435,3.1656494
2018-06-07,327.0,342.4346,-15.434601
2018-06-10,317.0,336.24673,-19.246735
2018-06-11,323.0,324.8881,-1.888092
2018-06-12,320.0,325.43912,-5.4391174
2018-06-13,318.0,326.11005,-8.110046
2018-06-14,321.0,324.66928,-3.669281
2018-06-17,320.0,325.8993,-5.899292
2018-06-18,320.0,323.18707,-3.1870728
2018-06-19,316.0,322.63422,-6.6342163
2018-06-20,312.0,322.26474,-10.26474
2018-06-21,310.0,317.94623,-7.946228
2018-06-24,314.0,316.9923,-2.9923096
2018-06-25,313.0,316.95435,-3.9543457
2018-06-26,311.0,320.04843,-9.048431
2018-06-27,311.0,316.64386,-5.64386
2018-06-28,312.0,314.81,-2.8099976
2018-07-01,305.0,317.68384,-12.683838
2018-07-02,305.0,312.38974,-7.38974
2018-07-03,305.0,310.1534,-5.153412
2018-07-04,309.0,310.80005,-1.8000488
2018-07-05,318.0,313.28943,4.7105713
2018-07-08,316.0,320.59045,-4.590454
2018-07-09,310.0,324.4087,-14.408691
2018-07-10,313.0,316.8031,-3.8031006
2018-07-11,312.0,321.65796,-9.657959
2018-07-12,310.0,319.84912,-9.849121
2018-07-15,311.0,323.87115,-12.871155
2018-07-16,314.0,327.2893,-13.289307
2018-07-17,315.0,327.47702,-12.47702
2018-07-18,317.0,320.0443,-3.0443115
2018-07-19,315.0,327.54712,-12.547119
2018-07-22,314.0,322.82495,-8.824951
2018-07-23,313.0,319.78632,-6.786316
2018-07-24,313.0,319.6566,-6.6565857
2018-07-25,314.0,321.18265,-7.1826477
2018-07-26,315.0,319.64294,-4.6429443
2018-07-29,318.0,320.34363,-2.343628
2018-07-30,319.0,324.0785,-5.078491
2018-07-31,321.0,323.38782,-2.3878174
2018-08-01,322.0,326.29996,-4.2999573
2018-08-02,327.0,327.2496,-0.24960327
2018-08-05,328.0,330.36664,-2.3666382
2018-08-06,326.0,333.088,-7.0880127
2018-08-07,326.0,332.2637,-6.2637024
2018-08-08,325.0,329.6328,-4.6328125
2018-08-09,325.0,330.0282,-5.0281982
2018-08-12,320.0,328.48022,-8.480225
2018-08-13,317.0,322.95386,-5.9538574
2018-08-14,324.0,321.17358,2.826416
2018-08-15,339.0,326.59818,12.401825
2018-08-16,340.0,342.2522,-2.2521973
2018-08-19,338.0,345.53976,-7.5397644
2018-08-20,335.0,351.50095,-16.500946
2018-08-21,333.0,347.3313,-14.331299
2018-08-22,344.0,342.81232,1.1876831
