Date,Actual,Predicted,Error
2017-09-10,425.00003,421.94498,3.0550537
2017-09-11,424.0,418.60828,5.3917236
2017-09-12,421.0,419.2852,1.7148132
2017-09-13,420.00003,415.34027,4.6597595
2017-09-14,447.0,414.6714,32.328613
2017-09-17,447.0,429.6599,17.340088
2017-09-18,443.0,440.03836,2.9616394
2017-09-20,439.00003,442.50778,-3.5077515
2017-09-24,441.0,438.34842,2.6515808
2017-09-25,448.0,435.76224,12.237762
2017-09-26,448.0,437.6398,10.360199
2017-10-03,453.0,438.4885,14.511505
2017-10-04,440.0,442.39902,-2.3990173
2017-10-08,432.00003,438.15222,-6.152191
2017-10-09,431.00003,426.96173,4.0382996
2017-10-10,427.00003,425.39993,1.6000977
2017-10-11,428.0,422.8576,5.142395
2017-10-12,429.0,422.6236,6.376404
2017-10-15,433.00003,425.37045,7.6295776
2017-10-16,442.0,424.9932,17.006805
2017-10-17,449.0,431.93243,17.067566
2017-10-18,444.00003,439.0022,4.9978333
2017-10-22,450.00003,439.22116,10.77887
2017-10-23,449.0,442.06793,6.932068
2017-10-24,448.0,444.85443,3.1455688
2017-10-25,449.0,443.99478,5.0052185
2017-10-29,442.0,441.3764,0.6235962
2017-10-30,437.00003,439.17673,-2.1766968
2017-10-31,437.00003,433.30432,3.6957092
2017-11-01,434.0,429.96982,4.030182
2017-11-02,440.0,428.15472,11.845276
2017-11-05,430.0,431.12897,-1.1289673
2017-11-06,429.0,427.16022,1.8397827
2017-11-07,422.0,421.68097,0.31903076
2017-11-08,416.0,419.03552,-3.0355225
2017-11-09,415.0,412.96402,2.0359802
2017-11-12,423.0,411.59653,11.403473
2017-11-13,428.0,414.29877,13.701233
2017-11-14,432.00003,418.50757,13.492462
2017-11-15,428.0,422.75388,5.2461243
2017-11-16,420.00003,423.27686,-3.276825
2017-11-19,420.00003,416.7295,3.2705383
2017-11-20,421.0,411.6434,9.356598
2017-11-21,423.0,414.62726,8.372742
2017-11-22,425.00003,418.1132,6.886841
2017-11-23,425.00003,419.56573,5.4342957
2017-11-26,432.00003,418.43784,13.562195
2017-11-27,430.0,421.91656,8.083435
2017-11-28,431.00003,423.7868,7.2132263
2017-11-29,436.0,424.51303,11.486969
2017-11-30,437.00003,426.34875,10.651276
2017-12-04,435.0,426.7673,8.232697
2017-12-05,431.00003,426.12885,4.8711853
2017-12-06,435.0,428.19864,6.801361
2017-12-10,430.0,427.58835,2.4116516
2017-12-11,431.00003,426.7521,4.247925
