Date,Actual,Predicted,Error
2017-09-06,438.00003,432.57562,5.424408
2017-09-07,428.0,435.08157,-7.0815735
2017-09-10,425.00003,434.53247,-9.53244
2017-09-11,424.0,431.14212,-7.1421204
2017-09-12,421.0,430.3682,-9.368195
2017-09-13,420.00003,428.82275,-8.822723
2017-09-14,447.0,427.20297,19.797028
2017-09-17,447.0,440.0937,6.906311
2017-09-18,443.0,454.0752,-11.075195
2017-09-20,439.00003,457.0668,-18.066772
2017-09-24,441.0,451.7103,-10.710297
2017-09-25,448.0,449.11887,-1.118866
2017-09-26,448.0,450.10785,-2.1078491
2017-10-03,453.0,450.5408,2.459198
2017-10-04,440.0,452.29922,-12.299225
2017-10-08,432.00003,445.98703,-13.9869995
2017-10-09,431.00003,432.1374,-1.1373596
2017-10-10,427.00003,428.674,-1.6739807
2017-10-11,428.0,428.90967,-0.90966797
2017-10-12,429.0,429.0752,-0.07519531
2017-10-15,433.00003,431.4385,1.5615234
2017-10-16,442.0,432.54306,9.45694
2017-10-17,449.0,440.7211,8.2789
2017-10-18,444.00003,446.27945,-2.279419
2017-10-22,450.00003,446.94293,3.0570984
2017-10-23,449.0,448.83722,0.16278076
2017-10-24,448.0,450.51413,-2.5141296
2017-10-25,449.0,449.55856,-0.55856323
2017-10-29,442.0,448.58823,-6.5882263
2017-10-30,437.00003,445.00616,-8.006134
2017-10-31,437.00003,440.32178,-3.3217468
2017-11-01,434.0,437.4101,-3.4100952
2017-11-02,440.0,434.64746,5.352539
2017-11-05,430.0,436.75766,-6.75766
2017-11-06,429.0,433.83142,-4.831421
2017-11-07,422.0,428.78693,-6.7869263
2017-11-08,416.0,427.9022,-11.902191
2017-11-09,415.0,422.58667,-7.58667
2017-11-12,423.0,421.27344,1.7265625
2017-11-13,428.0,423.51093,4.4890747
2017-11-14,432.00003,427.94055,4.0594788
2017-11-15,428.0,432.66663,-4.666626
2017-11-16,420.00003,432.63135,-12.631317
2017-11-19,420.00003,428.3828,-8.382782
2017-11-20,421.0,421.37628,-0.37628174
2017-11-21,423.0,420.83032,2.1696777
2017-11-22,425.00003,422.96725,2.0327759
2017-11-23,425.00003,425.18848,-0.18844604
2017-11-26,432.00003,426.7144,5.2856445
2017-11-27,430.0,431.18872,-1.1887207
2017-11-28,431.00003,432.1397,-1.139679
2017-11-29,436.0,430.30908,5.690918
2017-11-30,437.00003,433.83817,3.1618652
2017-12-04,435.0,436.2126,-1.2125854
2017-12-05,431.00003,435.95285,-4.95282
2017-12-06,435.0,435.33008,-0.33007812
2017-12-10,430.0,433.73935,-3.7393494
2017-12-11,431.00003,435.73282,-4.732788
2017-12-12,427.00003,431.55896,-4.5589294
2017-12-13,428.0,429.27933,-1.2793274
2017-12-14,425.00003,427.9783,-2.9782715
2017-12-17,423.0,428.02777,-5.027771
2017-12-18,426.00003,426.1238,-0.1237793
2017-12-19,424.0,424.887,-0.8869934
2017-12-20,422.0,424.03467,-2.034668
2017-12-21,420.00003,422.57483,-2.5747986
2017-12-24,421.0,420.32816,0.6718445
2017-12-26,420.00003,421.49615,-1.4961243
2017-12-27,415.0,419.7675,-4.7674866
2017-12-28,410.0,415.49222,-5.492218
2017-12-31,402.0,410.90866,-8.908661
2018-01-01,414.00003,406.0428,7.957245
2018-01-02,425.00003,410.32108,14.678955
2018-01-03,422.0,422.69717,-0.6971741
