Date,Actual,Predicted,Error
2017-09-18,443.0,482.59372,-39.59372
2017-09-20,439.00003,482.30603,-43.306
2017-09-24,441.0,468.40707,-27.407074
2017-09-25,448.0,458.3183,-10.318298
2017-09-26,448.0,454.21997,-6.2199707
2017-10-03,453.0,454.49545,-1.4954529
2017-10-04,440.0,457.0068,-17.006805
2017-10-08,432.00003,459.00937,-27.009338
2017-10-09,431.00003,460.81125,-29.811218
2017-10-10,427.00003,462.2085,-35.208466
2017-10-11,428.0,461.1446,-33.144592
2017-10-12,429.0,457.6806,-28.680603
2017-10-15,433.00003,453.198,-20.197968
2017-10-16,442.0,450.13834,-8.138336
2017-10-17,449.0,459.20056,-10.200562
2017-10-18,444.00003,462.45483,-18.454803
2017-10-22,450.00003,465.13525,-15.135223
2017-10-23,449.0,467.28302,-18.28302
2017-10-24,448.0,471.23795,-23.237946
2017-10-25,449.0,471.1093,-22.109314
2017-10-29,442.0,473.73624,-31.736237
2017-10-30,437.00003,469.30872,-32.308685
2017-10-31,437.00003,467.92755,-30.92752
2017-11-01,434.0,462.39124,-28.391235
2017-11-02,440.0,458.17136,-18.171356
2017-11-05,430.0,457.87607,-27.876068
2017-11-06,429.0,460.35318,-31.35318
2017-11-07,422.0,465.74203,-43.742035
2017-11-08,416.0,464.16803,-48.16803
2017-11-09,415.0,456.0592,-41.059204
2017-11-12,423.0,446.7608,-23.760803
2017-11-13,428.0,443.10278,-15.102783
2017-11-14,432.00003,445.6383,-13.638275
2017-11-15,428.0,448.61484,-20.614838
2017-11-16,420.00003,445.2419,-25.241882
2017-11-19,420.00003,446.38797,-26.38794
2017-11-20,421.0,444.97986,-23.979858
2017-11-21,423.0,441.67426,-18.674255
2017-11-22,425.00003,441.6501,-16.650055
2017-11-23,425.00003,442.68915,-17.689117
2017-11-26,432.00003,443.5514,-11.551361
2017-11-27,430.0,447.4027,-17.40271
2017-11-28,431.00003,448.43497,-17.434937
2017-11-29,436.0,452.385,-16.38501
2017-11-30,437.00003,457.91385,-20.913818
2017-12-04,435.0,455.41257,-20.412567
2017-12-05,431.00003,454.59433,-23.5943
2017-12-06,435.0,453.98422,-18.984222
2017-12-10,430.0,454.3221,-24.322113
2017-12-11,431.00003,455.1063,-24.106262
2017-12-12,427.00003,453.9544,-26.954376
2017-12-13,428.0,454.549,-26.549011
2017-12-14,425.00003,448.37213,-23.3721
2017-12-17,423.0,447.05853,-24.058533
2017-12-18,426.00003,445.3594,-19.359375
2017-12-19,424.0,442.18723,-18.187225
2017-12-20,422.0,442.11932,-20.119324
2017-12-21,420.00003,441.08157,-21.081543
2017-12-24,421.0,442.03625,-21.036255
2017-12-26,420.00003,442.60577,-22.605743
2017-12-27,415.0,441.26395,-26.263947
2017-12-28,410.0,442.08688,-32.086884
2017-12-31,402.0,439.15274,-37.15274
2018-01-01,414.00003,443.68387,-29.683838
2018-01-02,425.00003,436.58267,-11.582642
2018-01-03,422.0,461.30856,-39.308563
2018-01-04,421.0,454.0697,-33.069702
2018-01-07,423.0,443.58307,-20.583069
2018-01-08,425.00003,445.31805,-20.318024
2018-01-09,425.00003,443.1257,-18.125671
2018-01-10,425.00003,440.97192,-15.971893
2018-01-14,420.00003,441.8099,-21.809875
2018-01-16,417.0,442.019,-25.019012
2018-01-17,413.00003,439.60663,-26.606598
2018-01-21,419.00003,437.67603,-18.675995
2018-01-22,420.00003,444.53317,-24.533142
2018-01-23,416.0,448.00397,-32.003967
2018-01-24,419.00003,447.4396,-28.439575
2018-01-25,420.00003,444.99173,-24.9917
2018-01-28,415.0,443.5836,-28.583588
2018-01-29,340.0,458.4632,-118.463196
2018-01-31,344.0,416.2695,-72.2695
2018-02-01,344.0,390.8426,-46.84259
2018-02-04,350.00003,375.17508,-25.175049
2018-02-05,342.0,368.9384,-26.938385
2018-02-06,347.0,365.9145,-18.91449
2018-02-07,342.0,362.64777,-20.647766
2018-02-08,342.0,360.7369,-18.736908
2018-02-11,342.0,356.69397,-14.69397
2018-02-12,340.0,355.47043,-15.470428
2018-02-14,340.0,355.95905,-15.959045
2018-02-15,350.00003,358.3602,-8.360168
2018-02-18,350.00003,363.00113,-13.001099
2018-02-20,340.0,370.98148,-30.981476
2018-02-21,340.0,370.5482,-30.548187
2018-02-22,340.0,365.4792,-25.479187
2018-02-25,338.0,363.43546,-25.435455
2018-02-26,335.0,361.48267,-26.482666
2018-02-27,338.0,359.54227,-21.542267
2018-02-28,334.0,357.33115,-23.331146
2018-03-04,328.0,360.71808,-32.71808
2018-03-05,324.0,360.92252,-36.922516
2018-03-06,327.0,358.0879,-31.08789
2018-03-07,330.0,348.52084,-18.520844
2018-03-11,326.0,345.80127,-19.80127
2018-03-12,328.0,346.7012,-18.701202
2018-03-13,333.0,348.47278,-15.472778
2018-03-14,335.0,350.2174,-15.217407
2018-03-15,335.0,351.02222,-16.022217
2018-03-18,334.0,353.23218,-19.232178
2018-03-19,325.0,352.78024,-27.780243
2018-03-20,323.0,351.67548,-28.675476
2018-03-21,316.0,345.43292,-29.432922
2018-03-22,316.0,342.9501,-26.950104
2018-03-26,300.0,338.28635,-38.286346
2018-03-27,316.0,337.15588,-21.155884
2018-03-28,311.0,336.67743,-25.67743
2018-03-29,318.0,337.80984,-19.809845
2018-04-01,313.0,336.82126,-23.821259
2018-04-02,314.0,335.4432,-21.443207
2018-04-03,315.0,334.9609,-19.960907
2018-04-04,325.0,329.9461,-4.946106
2018-04-05,331.0,335.61923,-4.619232
2018-04-08,340.0,346.24734,-6.247345
2018-04-09,335.0,353.427,-18.427002
2018-04-10,334.0,356.8699,-22.869904
2018-04-11,335.0,353.0122,-18.012207
2018-04-12,337.0,351.93982,-14.939819
2018-04-15,340.0,354.27353,-14.273529
2018-04-16,338.0,355.13382,-17.13382
2018-04-17,337.0,356.23608,-19.236084
2018-04-18,345.0,363.25677,-18.256775
2018-04-19,351.0,366.72095,-15.720947
2018-04-22,369.00003,375.71936,-6.71933
2018-04-23,360.0,389.02322,-29.023224
2018-04-24,359.0,400.34912,-41.34912
2018-04-25,352.0,391.04877,-39.048767
2018-04-26,348.00003,384.37604,-36.376007
2018-04-29,344.0,377.99387,-33.993866
2018-05-02,341.0,371.4285,-30.428497
2018-05-03,346.0,364.5603,-18.560303
2018-05-06,343.0,366.00595,-23.00595
2018-05-07,343.0,366.14435,-23.144348
2018-05-08,343.0,363.6182,-20.618195
2018-05-09,344.0,361.62082,-17.62082
2018-05-10,343.0,362.28198,-19.281982
2018-05-14,341.0,364.33136,-23.33136
2018-05-15,339.0,361.05774,-22.05774
2018-05-16,341.0,359.15536,-18.155365
2018-05-17,339.0,358.10965,-19.10965
2018-05-20,340.0,360.58832,-20.588318
2018-05-21,340.0,363.9213,-23.921295
2018-05-22,337.0,364.3667,-27.3667
2018-05-23,334.0,361.5788,-27.578796
2018-05-24,335.0,360.76773,-25.76773
2018-05-27,332.0,358.53824,-26.538239
2018-05-28,340.0,355.941,-15.9410095
2018-05-29,337.0,353.7062,-16.706207
2018-05-30,340.0,356.95798,-16.957977
2018-05-31,339.0,357.8392,-18.839203
2018-06-03,330.0,359.19565,-29.195648
2018-06-04,329.0,360.5583,-31.558289
2018-06-06,336.0,355.39413,-19.394135
2018-06-07,327.0,352.7201,-25.720093
2018-06-10,317.0,350.6994,-33.6994
2018-06-11,323.0,348.8407,-25.840698
2018-06-12,320.0,344.15222,-24.152222
2018-06-13,318.0,340.99084,-22.990845
2018-06-14,321.0,339.05,-18.049988
2018-06-17,320.0,340.0758,-20.075806
2018-06-18,320.0,336.87006,-16.870056
2018-06-19,316.0,338.0852,-22.085205
2018-06-20,312.0,338.7267,-26.726715
2018-06-21,310.0,335.9297,-25.929688
2018-06-24,314.0,335.2847,-21.284698
2018-06-25,313.0,331.06732,-18.067322
2018-06-26,311.0,330.4547,-19.454712
2018-06-27,311.0,332.2303,-21.230286
2018-06-28,312.0,328.8342,-16.834198
2018-07-01,305.0,331.525,-26.524994
2018-07-02,305.0,329.34204,-24.342041
2018-07-03,305.0,326.64594,-21.645935
2018-07-04,309.0,323.151,-14.151001
2018-07-05,318.0,324.42203,-6.4220276
2018-07-08,316.0,327.6761,-11.676086
2018-07-09,310.0,332.64038,-22.64038
2018-07-10,313.0,331.8975,-18.897491
2018-07-11,312.0,353.54922,-41.549225
2018-07-12,310.0,357.59433,-47.59433
2018-07-15,311.0,344.55643,-33.556427
2018-07-16,314.0,331.55402,-17.554016
2018-07-17,315.0,340.48776,-25.487762
2018-07-18,317.0,331.27142,-14.271423
