Date,LTP,Open,High,Low,Quantity,Score
12/06/2010,289.469482,290.575562,291.29129,288.593597,4183400,-0.07025
12/07/2010,293.863861,295.930939,296.796783,293.293304,6078300,-0.101625
12/08/2010,295.565552,296.281281,296.556549,292.137146,3510200,-0.0037
12/09/2010,296.046051,297.237244,298.088074,294.7948,3734000,0.089836364
12/10/2010,296.401398,296.866852,297.292297,295.44043,3405900,0.1381
12/11/2010,297.607605,298.858856,301.801788,297.342346,4792200,-0.058533333
12/12/2010,297.752747,298.843842,299.444458,296.53653,3283300,-0.3182
12/13/2010,295.445435,297.3974,298.523529,294.869873,4331000,0.0032
12/14/2010,296.151154,296.72171,297.18219,294.329315,3190600,0.05295
12/15/2010,295.695709,295.795807,296.576569,294.12912,6168000,0.118821053
12/16/2010,297.82782,297.62262,299.239227,294.624634,3942600,0.16647
12/17/2010,301.836823,299.584595,302.662659,299.104095,3755200,-0.130575
12/18/2010,303.048035,302.302307,303.803802,301.941956,2412500,0.47635
12/20/2010,302.417419,302.972961,303.303314,301.316315,2219300,0.083985714
12/21/2010,301.491486,301.671661,302.1922,300.050049,2413700,0.023835714
12/22/2010,299.759766,301.326324,302.237244,299.304291,2127400,0.0508
12/23/2010,300.800812,301.3013,301.5065,299.759766,2036300,-0.2106625
12/24/2010,299.729736,299.299286,300.965973,298.993988,1977000,0
12/27/2010,297.282288,298.668671,299.509521,296.31131,3075500,0.0312
12/28/2010,302.477478,298.538544,303.098083,298.538544,4725600,0.257857143
12/29/2010,301.361359,303.113098,303.393402,300.360352,3645300,0.362711111
12/30/2010,304.839844,300.335327,305.470459,300.325317,5059500,0.140308333
12/31/2010,307.057068,305.64566,309.524536,305.330322,4111400,-0.26662
1/02/2011,308.528534,308.263275,309.434448,305.370361,4198100,0
1/03/2011,307.412415,307.707703,308.002991,304.584595,3155200,-0.03138
1/04/2011,308.313324,309.164154,309.709717,307.557556,2875700,0.1020375
1/05/2011,308.743744,309.984985,309.984985,307.692688,3262100,0.061354545
1/06/2011,308.653656,308.793793,310.145142,307.38739,2665300,0.145934615
1/07/2011,312.402405,309.009003,312.447449,308.848846,4726400,0.089909091
1/08/2011,320.135132,313.343353,321.316315,312.947937,7226700,-0.08618
1/09/2011,316.191193,321.381378,321.801788,315.145142,6805300,0.3313
1/10/2011,313.6987,316.421417,317.357361,311.95697,10960600,0.019988889
1/11/2011,306.221222,320.110107,321.186188,305.985992,17790900,0.025081818
1/12/2011,305.845856,304.089081,306.551544,300.915924,9189200,0.06638
1/13/2011,310.265259,304.404419,310.65567,303.563568,7286300,-0.022766667
1/14/2011,308.558563,310.475464,311.556549,307.947937,4072100,-0.1675125
1/15/2011,308.703705,309.254242,310.160156,306.931946,4034300,0
1/16/2011,300.795807,309.844849,310.490479,300.180176,8453700,-0.0351
1/17/2011,300.480469,302.102112,302.537537,298.073059,5604100,-0.074
1/18/2011,305.825836,302.547546,306.981995,301.856842,5485100,0.109588235
1/19/2011,306.306305,305.805817,307.477478,304.069061,3517800,0.1571
